Keyword,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range)
mit artificial intelligence course fee,50,0%,0%,High,86,4.46,13.23
mit artificial intelligence course free,500,0%,0%,Medium,56,1.79,5.15
mit artificial intelligence in healthcare,500,0%,0%,High,85,5.94,20.47
mit certificate machine learning,50,0%,0%,High,86,,
mit course artificial intelligence,500,0%,0%,High,78,4.51,17.24
mit course on artificial intelligence,50,-90%,0%,High,86,6.25,23.55
mit course on machine learning,50,0%,0%,High,90,2.81,11.4
mit deep learning certificate,50,0%,0%,High,68,2.2,8.19
mit designing and building ai products and services,50,0%,0%,High,95,5.13,22.39
mit executive education ai,50,0%,-90%,High,88,9.4,32.38
mit free ai course,500,0%,0%,Medium,43,2.03,6.12
mit generative ai,500,0%,0%,High,69,4.76,16.91
mit generative ai certificate,50,0%,0%,High,81,4.58,14.06
mit generative ai course,500,0%,0%,High,86,4.69,16.84
mit generative ai course reviews,,,,,,,
mit introduction to artificial intelligence,50,0%,0%,High,77,2.49,9.83
mit machine learning,500,0%,0%,Medium,42,2.97,10.13
mit machine learning and artificial intelligence,50,0%,0%,High,97,5.88,23.68
mit machine learning certificate,500,0%,-90%,High,78,3.52,15.58
mit machine learning course,500,0%,0%,Medium,63,3.01,11.27
mit machine learning course cost,50,0%,0%,Low,24,,
mit machine learning course online,50,0%,0%,High,70,4.53,13.97
mit machine learning online,50,0%,0%,Medium,65,3.7,12.74
mit machine learning online course,50,0%,0%,High,70,4.53,13.97
mit machine learning program,50,0%,0%,High,90,5.83,12.58
mit master artificial intelligence,50,0%,0%,High,82,3.15,12.29
mit no code ai,50,0%,-90%,High,77,3.6,13.88
mit online courses artificial intelligence,50,0%,0%,High,87,8.63,22.31
mit online courses machine learning,50,0%,0%,High,70,4.53,13.97
mit online machine learning,50,0%,0%,Medium,65,3.7,12.74
mit online machine learning course,50,0%,0%,High,100,,
mit open course artificial intelligence,500,0%,0%,High,78,4.51,17.24
mit professional development,50,0%,-90%,Medium,65,2.71,9.41
mit professional education applied generative ai for digital transformation,50,0%,0%,High,78,9.71,34.23
mit professional education machine learning,50,0%,0%,High,68,4.7,14.86
mit xpro ai,50,0%,0%,High,83,5.48,22.87
mit xpro ai course,500,0%,900%,High,83,6.08,23.78
mit xpro designing and building ai products and services,50,0%,0%,High,84,4.99,24.05
mitx,5000,0%,0%,Low,19,1.39,7.05
ml and ai course online,50,-100%,-100%,,,,
ml and ai courses online free,50,0%,-100%,,,,
natural language processing for business,500,0%,0%,Low,11,9,38.09
no code ai and machine learning,500,900%,0%,High,69,4.41,12.75
no code ai and machine learning building data science solutions,500,0%,900%,High,79,4.02,12.79
no code ai course,50,0%,0%,Medium,56,5.15,16.24
no code ai mit,50,0%,0%,High,84,4.1,14.15
northeastern university artificial intelligence,50,0%,0%,Medium,35,4.57,14.25
online ai and ml courses,50,0%,0%,Medium,59,11.63,19.69
online ai certificate courses,500,0%,-90%,High,92,6.93,23.9
online ai certification courses,500,0%,-90%,High,92,6.93,23.9
online ai classes,500,0%,0%,High,92,5.68,19.21
online ai courses free,50,-90%,0%,High,78,1.92,6.13
online ai learning,500,0%,0%,High,79,4.35,12.91
online ai training courses,50,0%,0%,High,78,5.24,15.86
online artificial intelligence degree,5000,-90%,0%,High,82,8.41,34.83
online certificate course in artificial intelligence,50,0%,?,High,100,7.73,31.24
online classes for artificial intelligence,50,0%,0%,High,90,5.59,18.53
online course generative ai,50,0%,0%,Medium,50,,
online course on ai and machine learning,50,0%,900%,Low,1,,
online courses for ai and machine learning,50,-90%,0%,Low,8,15.88,32.97
online courses for machine learning and ai,50,0%,0%,High,76,10.66,17.8
online courses of artificial intelligence,50,0%,?,High,67,,
online executive education,500,900%,0%,Low,23,6.66,18.2
online free ai course,50,0%,0%,High,77,1.96,6.93
online generative ai course,50,0%,0%,Medium,62,4.88,12.25
operationalizing ai,50,0%,0%,Medium,52,6.39,23.23
practical ai applications,50,0%,0%,Medium,42,2.56,12.34
product development ai,50,0%,0%,High,85,5.6,21.36
product innovation course,50,0%,0%,Low,31,6,13.7
professional ai certificate,50,0%,?,High,80,5.3,16.76
professional certificate in ai,50,0%,0%,High,92,6.21,19.23
professional certificate program in ai and machine learning,50,0%,0%,Medium,43,,
professional certificate program in machine learning & artificial intelligence,500,0%,900%,Low,7,5.53,19.61
professional certificate program in machine learning and artificial intelligence,50,0%,0%,Low,31,,
programs in artificial intelligence,50,0%,0%,High,84,6.38,17.44
prompt engineering course,5000,0%,0%,High,85,3.63,11.26
prototyping with ai,50,0%,0%,High,73,3.81,10.52
python and ai course,50,0%,0%,High,96,4.71,11.27
r&d innovation strategy,50,0%,-100%,,,,
responsible ai business,,,,,,,
scaling generative ai,50,0%,0%,Low,10,6.54,23.77
short course artificial intelligence,50,0%,0%,Low,31,3.55,8.84
smart product design,50,0%,0%,Low,2,,
stanford agentic ai course,50,0%,?,High,72,3.86,10
stanford ai certificate,500,-90%,0%,High,80,3.73,26.85
stanford ai course,5000,0%,900%,High,80,3.69,29.26
stanford ai professional program,500,0%,0%,Medium,57,3.19,9.64
stanford generative ai course,50,0%,0%,High,82,4.05,11.48
stanford online artificial intelligence course,500,0%,0%,High,77,4.89,28.82
startup ai strategy,,,,,,,
strategic ai management,,,,,,,
strategic foresight ai,,,,,,,
synthetic media business,,,,,,,
team productivity with ai,,,,,,,
tech professional development,,,,,,,
tech strategy course,,,,,,,
technology forecasting,500,0%,0%,Low,6,4.67,11.54
technology innovation course,50,-100%,0%,,,,
technology leadership certificate,50,0%,0%,Medium,54,3.98,14.4
top artificial intelligence certification,500,0%,0%,High,88,4.04,15.14
udacity ai course,500,-90%,0%,High,75,3.22,11.26
upskill in ai,50,0%,0%,Medium,60,2.99,14.25
upskilling in ai,50,0%,0%,Medium,60,2.99,14.25
using ai to improve customer experience,50,0%,0%,Low,14,,
what to study to become artificial intelligence engineer,50,0%,0%,High,71,3.39,6.52
xpro ai,50,0%,0%,Medium,34,4.06,8.92
